"","Var1","Freq"
"1","Abrus",4
"2","Abuta",34
"3","Acalypha",3
"4","Acidocroton",1
"5","Adelobotrys",22
"6","Adelphia",3
"7","Adenocalymma",79
"8","Adenophyllum",1
"9","Adenopodia",3
"10","Aegiphila",45
"11","Aenigmatanthera",2
"12","Aetheolaena",11
"13","Aganisia",2
"14","Agdestis",1
"15","Ageratina",2
"16","Ahzolia",1
"17","Aiouea",2
"18","Alicia",2
"19","Allamanda",5
"20","Alloispermum",3
"21","Allomarkgrafia",9
"22","Alloplectus",8
"23","Alternanthera",2
"24","Alvimiantha",1
"25","Amicia",1
"26","Amorimia",8
"27","Ampelocissus",4
"28","Ampelopsis",1
"29","Ampelozizyphus",1
"30","Amphilophium",47
"31","Amphirrhox",1
"32","Anchietea",6
"33","Ancistrothyrsus",2
"34","Ancistrotropis",5
"35","Anechites",1
"36","Anemopaegma",44
"37","Angadenia",2
"38","Aniseia",3
"39","Annona",7
"40","Anomospermum",8
"41","Anredera",11
"42","Anthodon",2
"43","Anthurium",92
"44","Antigonon",4
"45","Antillanthus",9
"46","Aphelandra",1
"47","Apodanthera",28
"48","Apurimacia",1
"49","Araujia",11
"50","Archibaccharis",5
"51","Arcytophyllum",1
"52","Aristeguietia",1
"53","Aristolochia",196
"54","Arthrostemma",1
"55","Arthrostylidium",24
"56","Asketanthera",6
"57","Aspilia",1
"58","Asplundia",45
"59","Asplundianthus",3
"60","Astephanus",1
"61","Athroostachys",1
"62","Atractantha",1
"63","Attilaea",1
"64","Aulonemia",13
"65","Austrobrickellia",1
"66","Ayapana",1
"67","Baccharis",17
"68","Bahiella",2
"69","Banisteriopsis",64
"70","Barbieria",1
"71","Barnadesia",1
"72","Bartlettina",2
"73","Basella",1
"74","Basistemon",1
"75","Beaumontia",1
"76","Begonia",28
"77","Belemia",1
"78","Benincasa",1
"79","Berchemia",1
"80","Bernardinia",1
"81","Berylsimpsonia",1
"82","Besleria",1
"83","Bia",5
"84","Biancaea",1
"85","Bidens",7
"86","Bignonia",29
"87","Bisgoeppertia",3
"88","Blakea",39
"89","Blepharodon",26
"90","Blumenbachia",3
"91","Boerhavia",1
"92","Bomarea",82
"93","Bonamia",18
"94","Borismene",1
"95","Borreria",2
"96","Borzicactus",2
"97","Bougainvillea",5
"98","Bredemeyera",9
"99","Bronwenia",8
"100","Brunfelsia",1
"101","Buddleja",2
"102","Burmeistera",14
"103","Byttneria",38
"104","Caiophora",21
"105","Calceolaria",11
"106","Calea",7
"107","Callaeum",6
"108","Callichlamys",1
"109","Calopogonium",10
"110","Calostigma",1
"111","Calycobolus",4
"112","Calycophysum",3
"113","Calyptrion",3
"114","Calystegia",3
"115","Campsis",2
"116","Camptosema",9
"117","Canavalia",40
"118","Capanea",1
"119","Capparis",3
"120","Cardiospermum",9
"121","Carolus",5
"122","Caryomene",5
"123","Casearia",1
"124","Casimirella",2
"125","Cavendishia",12
"126","Cayaponia",65
"127","Celastrus",10
"128","Celosia",1
"129","Celtis",3
"130","Centropogon",22
"131","Centrosema",38
"132","Ceratosanthes",5
"133","Ceratostema",1
"134","Cereus",8
"135","Cestrum",3
"136","Chaetocalyx",14
"137","Chalema",1
"138","Chamaecrista",2
"139","Chamaedorea",1
"140","Chamissoa",2
"141","Cheiloclinium",15
"142","Chiococca",4
"143","Chomelia",3
"144","Chondrodendron",3
"145","Chorisepalum",1
"146","Christianella",5
"147","Chromolaena",5
"148","Chrysothemis",2
"149","Chusquea",38
"150","Cionosicys",4
"151","Cissampelos",12
"152","Cissus",85
"153","Citharexylum",1
"154","Citrullus",2
"155","Cleistocactus",8
"156","Clematicissus",1
"157","Clematis",21
"158","Cleobulia",3
"159","Cleome",1
"160","Clerodendrum",2
"161","Clibadium",2
"162","Clidemia",12
"163","Clitoria",26
"164","Clusia",11
"165","Clusiella",3
"166","Cnestidium",2
"167","Cobaea",18
"168","Coccinia",1
"169","Coccoloba",11
"170","Cocculus",2
"171","Cochliasanthus",1
"172","Codonanthe",2
"173","Codonanthopsis",3
"174","Colanthelia",2
"175","Colignonia",6
"176","Cologania",2
"177","Columnea",39
"178","Combretum",31
"179","Commelina",1
"180","Condylidium",1
"181","Condylocarpon",7
"182","Condylopodium",4
"183","Condylostylis",2
"184","Congea",2
"185","Connarus",35
"186","Convolvulus",9
"187","Coreopsis",1
"188","Coriaria",1
