;genero;climbers;genero;total
1;Abrus;4;Abrus;19
2;Abuta;34;Abuta;31
3;Acalypha;3;Acalypha;461
4;Acidocroton;1;Acidocroton;12
5;Adelobotrys;22;Adelobotrys;33
6;Adelphia;3;Adelphia;4
7;Adenocalymma;79;Adenocalymma;90
8;Adenophyllum;1;Adenophyllum;12
9;Adenopodia;3;Adenopodia;7
10;Aegiphila;45;Aegiphila;149
11;Aenigmatanthera;2;Aenigmatanthera;2
12;Aetheolaena;11;Aetheolaena;15
13;Aganisia;2;Aganisia;4
14;Agdestis;1;Agdestis;1
15;Ageratina;2;Ageratina;351
16;Ahzolia;1;Aiouea;75
17;Aiouea;2;Albuca;3
18;Alicia;2;Alicia;2
19;Allamanda;5;Allamanda;15
20;Alloispermum;3;Alloispermum;16
21;Allomarkgrafia;9;Allomarkgrafia;10
22;Alloplectus;8;Alloplectus;6
23;Alternanthera;2;Alternanthera;152
24;Alvimiantha;1;Alvimiantha;1
25;Amicia;1;Amicia;9
26;Amorimia;8;Amorimia;15
27;Ampelocissus;4;Ampelocissus;93
28;Ampelopsis;1;Ampelopsis;18
29;Ampelozizyphus;1;Ampelozizyphus;3
30;Amphilophium;47;Amphilophium;48
31;Amphirrhox;1;Amphirrhox;1
32;Anchietea;6;Anchietea;8
33;Ancistrothyrsus;2;Ancistrothyrsus;2
34;Ancistrotropis;5;Ancistrotropis;7
35;Anechites;1;Anechites;1
36;Anemopaegma;44;Anemopaegma;46
37;Angadenia;2;Angadenia;2
38;Aniseia;3;Aniseia;6
39;Annona;7;Annona;170
40;Anomospermum;8;Anomospermum;8
41;Anredera;11;Anredera;12
42;Anthodon;2;Anthodon;1
43;Anthurium;92;Anthurium;1060
44;Antigonon;4;Antigonon;3
45;Antillanthus;9;Antillanthus;18
46;Aphelandra;1;Aphelandra;197
47;Apodanthera;28;Apodanthera;36
48;Apurimacia;1;Apurimacia;6
49;Araujia;11;Araujia;14
50;Archibaccharis;5;Archibaccharis;39
51;Arcytophyllum;1;Arcytophyllum;18
52;Aristeguietia;1;Aristeguietia;19
53;Aristolochia;196;Aristolochia;519
54;Arthrostemma;1;Arthrostemma;5
55;Arthrostylidium;24;Arthrostylidium;29
56;Asketanthera;6;Asketanthera;6
57;Aspilia;1;Aspilia;87
58;Asplundia;45;Asplundia;101
59;Asplundianthus;3;Asplundianthus;11
60;Astephanus;1;Astephanus;2
61;Athroostachys;1;Aster;1
62;Atractantha;1;Athroostachys;1
63;Attilaea;1;Atractantha;6
64;Aulonemia;13;Aulonemia;54
65;Austrobrickellia;1;Austrobrickellia;3
66;Ayapana;1;Ayapana;17
67;Baccharis;17;Baccharis;463
68;Bahiella;2;Bahiella;2
69;Banisteriopsis;64;Banisteriopsis;62
70;Barbieria;1;Barbieria;1
71;Barnadesia;1;Barnadesia;20
72;Bartlettina;2;Bartlettina;44
73;Basella;1;Basella;5
74;Basistemon;1;Basistemon;6
75;Beaumontia;1;Beaumontia;10
76;Begonia;28;Begonia;1896
77;Belemia;1;Belemia;1
78;Benincasa;1;Benincasa;2
79;Berchemia;1;Berchemia;40
80;Bernardinia;1;Berylsimpsonia;2
81;Berylsimpsonia;1;Besleria;165
82;Besleria;1;Bia;7
83;Bia;5;Biancaea;5
84;Biancaea;1;Bidens;266
85;Bidens;7;Bignonia;33
86;Bignonia;29;Bisgoeppertia;3
87;Bisgoeppertia;3;Blakea;189
